trial_id,window,parameters_json,holdout_n_trades,holdout_sharpe,holdout_pf,holdout_dd,holdout_win_rate,full_credibility_score,error
0,2018-2019,"{""adx_threshold"": 19.9412, ""compression_percentile"": 26.2326, ""compression_window"": 26, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0179, ""vix_suppress"": ""30""}",22,-5.6592,0.0478,-0.2190,0.1818,45,
1,2018-2019,"{""adx_threshold"": 21.4394, ""compression_percentile"": 29.7738, ""compression_window"": 13, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0323, ""vix_suppress"": ""off""}",14,-0.2476,0.8241,-0.0642,0.2143,45,
2,2018-2019,"{""adx_threshold"": 23.9458, ""compression_percentile"": 26.0669, ""compression_window"": 17, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0499, ""vix_suppress"": ""20""}",24,-3.7344,0.0864,-0.2302,0.2500,45,
3,2018-2019,"{""adx_threshold"": 22.7013, ""compression_percentile"": 10.2641, ""compression_window"": 15, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0204, ""vix_suppress"": ""30""}",13,-2.3841,0.1053,-0.1029,0.1538,45,
4,2018-2019,"{""adx_threshold"": 23.1854, ""compression_percentile"": 11.3817, ""compression_window"": 25, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0389, ""vix_suppress"": ""20""}",16,-2.1441,0.2774,-0.1264,0.1875,45,
5,2018-2019,"{""adx_threshold"": 18.6807, ""compression_percentile"": 19.5817, ""compression_window"": 13, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0472, ""vix_suppress"": ""20""}",8,-0.7935,0.4493,-0.0562,0.2500,45,
6,2018-2019,"{""adx_threshold"": 17.1953, ""compression_percentile"": 16.7651, ""compression_window"": 12, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0251, ""vix_suppress"": ""30""}",3,-1.6676,0.0000,-0.0251,0.0000,45,
7,2018-2019,"{""adx_threshold"": 20.4866, ""compression_percentile"": 26.7112, ""compression_window"": 22, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0316, ""vix_suppress"": ""20""}",24,-3.3233,0.1613,-0.2934,0.1667,45,
8,2018-2019,"{""adx_threshold"": 20.2833, ""compression_percentile"": 25.1569, ""compression_window"": 26, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0296, ""vix_suppress"": ""25""}",20,-5.6326,0.0050,-0.2617,0.0500,45,
9,2018-2019,"{""adx_threshold"": 23.311, ""compression_percentile"": 12.0036, ""compression_window"": 15, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0451, ""vix_suppress"": ""20""}",17,-2.9263,0.1345,-0.1344,0.2353,45,
10,2018-2019,"{""adx_threshold"": 16.5758, ""compression_percentile"": 18.5124, ""compression_window"": 27, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0273, ""vix_suppress"": ""20""}",9,-2.2237,0.1401,-0.0923,0.2222,45,
11,2018-2019,"{""adx_threshold"": 17.4709, ""compression_percentile"": 11.8326, ""compression_window"": 24, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0162, ""vix_suppress"": ""25""}",6,-1.2397,0.1934,-0.0297,0.1667,45,
12,2018-2019,"{""adx_threshold"": 19.3429, ""compression_percentile"": 15.7418, ""compression_window"": 17, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0461, ""vix_suppress"": ""20""}",8,-0.8001,0.4530,-0.0562,0.1250,45,
13,2018-2019,"{""adx_threshold"": 21.8387, ""compression_percentile"": 25.1161, ""compression_window"": 14, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0315, ""vix_suppress"": ""30""}",19,-0.7927,0.6022,-0.1123,0.2632,45,
14,2018-2019,"{""adx_threshold"": 19.0579, ""compression_percentile"": 27.2381, ""compression_window"": 20, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0326, ""vix_suppress"": ""30""}",19,-4.6394,0.0475,-0.2389,0.1053,45,
15,2018-2019,"{""adx_threshold"": 17.2082, ""compression_percentile"": 13.5658, ""compression_window"": 27, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0268, ""vix_suppress"": ""20""}",8,-0.5039,0.5926,-0.0774,0.1250,45,
16,2018-2019,"{""adx_threshold"": 18.8644, ""compression_percentile"": 10.8097, ""compression_window"": 23, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0327, ""vix_suppress"": ""30""}",9,-0.9736,0.4036,-0.0643,0.2222,45,
17,2018-2019,"{""adx_threshold"": 22.4803, ""compression_percentile"": 19.8702, ""compression_window"": 12, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0207, ""vix_suppress"": ""off""}",18,-3.3892,0.1078,-0.1580,0.2222,45,
18,2018-2019,"{""adx_threshold"": 17.921, ""compression_percentile"": 24.8315, ""compression_window"": 24, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0273, ""vix_suppress"": ""30""}",17,-3.8592,0.0931,-0.2014,0.1765,45,
19,2018-2019,"{""adx_threshold"": 20.8669, ""compression_percentile"": 24.3465, ""compression_window"": 10, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0456, ""vix_suppress"": ""25""}",11,-1.9188,0.2147,-0.0978,0.0909,45,
20,2018-2019,"{""adx_threshold"": 22.8099, ""compression_percentile"": 20.4173, ""compression_window"": 30, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0164, ""vix_suppress"": ""25""}",26,-3.3956,0.1827,-0.2130,0.0769,45,
21,2018-2019,"{""adx_threshold"": 19.7302, ""compression_percentile"": 26.2058, ""compression_window"": 14, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0166, ""vix_suppress"": ""20""}",12,-0.3880,0.7214,-0.0704,0.2500,45,
22,2018-2019,"{""adx_threshold"": 19.3153, ""compression_percentile"": 21.8056, ""compression_window"": 21, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0151, ""vix_suppress"": ""off""}",14,-3.0280,0.1605,-0.1125,0.2143,45,
23,2018-2019,"{""adx_threshold"": 21.8422, ""compression_percentile"": 24.2051, ""compression_window"": 22, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0217, ""vix_suppress"": ""30""}",25,-5.1904,0.0725,-0.2848,0.1600,45,
24,2018-2019,"{""adx_threshold"": 17.7502, ""compression_percentile"": 16.6507, ""compression_window"": 15, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0372, ""vix_suppress"": ""25""}",5,-2.4606,0.0000,-0.0721,0.0000,45,
25,2018-2019,"{""adx_threshold"": 17.7611, ""compression_percentile"": 28.4031, ""compression_window"": 24, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0355, ""vix_suppress"": ""20""}",20,-2.7766,0.1970,-0.1998,0.2000,45,
26,2018-2019,"{""adx_threshold"": 17.5838, ""compression_percentile"": 14.1446, ""compression_window"": 18, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0277, ""vix_suppress"": ""25""}",4,-2.2920,0.0000,-0.0386,0.0000,45,
27,2018-2019,"{""adx_threshold"": 17.4558, ""compression_percentile"": 22.1486, ""compression_window"": 22, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.035, ""vix_suppress"": ""20""}",10,-2.8267,0.0874,-0.1435,0.2000,45,
28,2018-2019,"{""adx_threshold"": 16.5111, ""compression_percentile"": 27.4338, ""compression_window"": 22, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 5, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0306, ""vix_suppress"": ""25""}",15,-3.2595,0.0962,-0.1475,0.2000,45,
29,2018-2019,"{""adx_threshold"": 21.6447, ""compression_percentile"": 29.9637, ""compression_window"": 25, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0436, ""vix_suppress"": ""20""}",28,-4.3939,0.0891,-0.3022,0.2143,45,
30,2018-2019,"{""adx_threshold"": 23.5964, ""compression_percentile"": 20.9712, ""compression_window"": 16, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""25"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0261, ""vix_suppress"": ""20""}",20,-2.3433,0.2782,-0.1837,0.1000,45,
31,2018-2019,"{""adx_threshold"": 21.8172, ""compression_percentile"": 29.2206, ""compression_window"": 16, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0478, ""vix_suppress"": ""off""}",22,-4.0193,0.0612,-0.2250,0.1818,45,
32,2018-2019,"{""adx_threshold"": 18.3551, ""compression_percentile"": 12.9673, ""compression_window"": 26, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0173, ""vix_suppress"": ""off""}",10,-0.1992,0.8248,-0.0577,0.2000,45,
33,2018-2019,"{""adx_threshold"": 16.3251, ""compression_percentile"": 27.3779, ""compression_window"": 26, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0416, ""vix_suppress"": ""25""}",12,-1.9705,0.2133,-0.1121,0.2500,45,
34,2018-2019,"{""adx_threshold"": 23.0034, ""compression_percentile"": 13.2016, ""compression_window"": 20, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0456, ""vix_suppress"": ""off""}",15,-3.5580,0.1028,-0.1564,0.1333,45,
35,2018-2019,"{""adx_threshold"": 23.5583, ""compression_percentile"": 28.0386, ""compression_window"": 11, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.035, ""vix_suppress"": ""30""}",15,-5.7474,0.0000,-0.1883,0.0000,45,
36,2018-2019,"{""adx_threshold"": 21.1531, ""compression_percentile"": 16.2943, ""compression_window"": 27, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0374, ""vix_suppress"": ""off""}",17,-1.9851,0.2399,-0.1334,0.2353,45,
37,2018-2019,"{""adx_threshold"": 19.6129, ""compression_percentile"": 13.8389, ""compression_window"": 23, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 3, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0192, ""vix_suppress"": ""20""}",7,-2.0644,0.0845,-0.0750,0.1429,45,
38,2018-2019,"{""adx_threshold"": 19.0785, ""compression_percentile"": 11.7384, ""compression_window"": 30, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0288, ""vix_suppress"": ""25""}",5,-1.1969,0.2235,-0.0259,0.2000,45,
39,2018-2019,"{""adx_threshold"": 18.9611, ""compression_percentile"": 12.4889, ""compression_window"": 10, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 2, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0163, ""vix_suppress"": ""off""}",5,-1.7887,0.0522,-0.0381,0.2000,45,
40,2018-2019,"{""adx_threshold"": 18.0811, ""compression_percentile"": 20.0727, ""compression_window"": 11, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 2, ""fear_greed_suppress"": ""20"", ""max_hold_days"": 5, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0443, ""vix_suppress"": ""off""}",6,-0.5337,0.5482,-0.0562,0.1667,45,
41,2018-2019,"{""adx_threshold"": 20.3932, ""compression_percentile"": 10.4046, ""compression_window"": 14, ""exit_mode"": ""band_mid"", ""failed_breakout_window"": 3, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 4, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0218, ""vix_suppress"": ""20""}",7,-2.3766,0.0000,-0.0780,0.0000,45,
42,2018-2019,"{""adx_threshold"": 17.6256, ""compression_percentile"": 16.0289, ""compression_window"": 13, ""exit_mode"": ""vwap_mid"", ""failed_breakout_window"": 4, ""fear_greed_suppress"": ""off"", ""max_hold_days"": 6, ""signal_mode"": ""failed_expansion"", ""stop_pct"": 0.0342, ""vix_suppress"": ""30""}",4,-2.1850,0.0000,-0.0395,0.0000,45,
