date,value
2007-01-03,291.0
2007-01-04,295.0
2007-01-05,293.0
2007-01-08,292.0
2007-01-09,289.0
2007-01-10,287.0
2007-01-11,282.0
2007-01-12,280.0
2007-01-16,278.0
2007-01-17,272.0
2007-01-18,273.0
2007-01-19,270.0
2007-01-22,269.0
2007-01-23,265.0
2007-01-24,263.0
2007-01-25,257.0
2007-01-26,259.0
2007-01-29,258.0
2007-01-30,262.0
2007-01-31,272.0
2007-02-01,266.0
2007-02-02,267.0
2007-02-05,267.0
2007-02-06,267.0
2007-02-07,265.0
2007-02-08,265.0
2007-02-09,259.0
2007-02-12,259.0
2007-02-13,258.0
2007-02-14,262.0
2007-02-15,259.0
2007-02-16,257.0
2007-02-20,257.0
2007-02-21,253.0
2007-02-22,249.0
2007-02-23,255.0
2007-02-26,258.0
2007-02-27,279.0
2007-02-28,282.0
2007-03-01,283.0
2007-03-02,291.0
2007-03-05,299.0
2007-03-06,294.0
2007-03-07,291.0
2007-03-08,285.0
2007-03-09,275.0
2007-03-12,280.0
2007-03-13,292.0
2007-03-14,294.0
2007-03-15,288.0
2007-03-16,288.0
2007-03-19,285.0
2007-03-20,288.0
2007-03-21,291.0
2007-03-22,281.0
2007-03-23,279.0
2007-03-26,282.0
2007-03-27,281.0
2007-03-28,284.0
2007-03-29,282.0
2007-03-30,280.0
2007-04-02,286.0
2007-04-03,283.0
2007-04-04,287.0
2007-04-05,284.0
2007-04-09,276.0
2007-04-10,278.0
2007-04-11,275.0
2007-04-12,275.0
2007-04-13,271.0
2007-04-16,270.0
2007-04-17,272.0
2007-04-18,273.0
2007-04-19,271.0
2007-04-20,268.0
2007-04-23,268.0
2007-04-24,270.0
2007-04-25,267.0
2007-04-26,263.0
2007-04-27,263.0
2007-04-30,274.0
2007-05-01,274.0
2007-05-02,272.0
2007-05-03,267.0
2007-05-04,270.0
2007-05-07,269.0
2007-05-08,269.0
2007-05-09,264.0
2007-05-10,265.0
2007-05-11,263.0
2007-05-14,261.0
2007-05-15,257.0
2007-05-16,258.0
2007-05-17,255.0
2007-05-18,251.0
2007-05-21,250.0
2007-05-22,246.0
2007-05-23,244.0
2007-05-24,245.0
2007-05-25,245.0
2007-05-29,242.0
2007-05-30,244.0
2007-05-31,246.0
2007-06-01,241.0
2007-06-04,244.0
2007-06-05,241.0
2007-06-06,248.0
2007-06-07,248.0
2007-06-08,251.0
2007-06-11,250.0
2007-06-12,249.0
2007-06-13,253.0
2007-06-14,249.0
2007-06-15,251.0
2007-06-18,252.0
2007-06-19,260.0
2007-06-20,259.0
2007-06-21,266.0
2007-06-22,269.0
2007-06-25,280.0
2007-06-26,279.0
2007-06-27,288.0
2007-06-28,283.0
2007-06-29,289.0
2007-07-02,303.0
2007-07-03,299.0
2007-07-05,292.0
2007-07-06,290.0
2007-07-09,293.0
2007-07-10,312.0
2007-07-11,316.0
2007-07-12,308.0
2007-07-13,306.0
2007-07-16,307.0
2007-07-17,305.0
2007-07-18,320.0
2007-07-19,320.0
2007-07-20,337.0
2007-07-23,344.0
2007-07-24,361.0
2007-07-25,371.0
2007-07-26,413.0
2007-07-27,428.0
2007-07-30,424.0
2007-07-31,419.0
2007-08-01,428.0
2007-08-02,418.0
2007-08-03,424.0
2007-08-06,428.0
2007-08-07,420.0
2007-08-08,393.0
2007-08-09,404.0
2007-08-10,412.0
2007-08-13,408.0
2007-08-14,416.0
2007-08-15,427.0
2007-08-16,459.0
2007-08-17,448.0
2007-08-20,450.0
2007-08-21,453.0
2007-08-22,442.0
2007-08-23,434.0
2007-08-24,429.0
2007-08-27,430.0
2007-08-28,444.0
2007-08-29,443.0
2007-08-30,448.0
2007-08-31,455.0
2007-09-04,453.0
2007-09-05,460.0
2007-09-06,456.0
2007-09-07,473.0
2007-09-10,479.0
2007-09-11,474.0
2007-09-12,469.0
2007-09-13,457.0
2007-09-14,458.0
2007-09-17,452.0
2007-09-18,446.0
2007-09-19,430.0
2007-09-20,421.0
2007-09-21,416.0
2007-09-24,410.0
2007-09-25,417.0
2007-09-26,414.0
2007-09-27,415.0
2007-09-28,416.0
2007-10-01,419.0
2007-10-02,420.0
2007-10-03,416.0
2007-10-04,415.0
2007-10-05,402.0
2007-10-08,402.0
2007-10-09,395.0
2007-10-10,391.0
2007-10-11,386.0
2007-10-12,383.0
2007-10-15,381.0
2007-10-16,391.0
2007-10-17,407.0
2007-10-18,420.0
2007-10-19,436.0
2007-10-22,439.0
2007-10-23,434.0
2007-10-24,442.0
2007-10-25,440.0
2007-10-26,439.0
2007-10-29,438.0
2007-10-30,438.0
2007-10-31,436.0
2007-11-01,453.0
2007-11-02,465.0
2007-11-05,469.0
2007-11-06,466.0
2007-11-07,476.0
2007-11-08,491.0
2007-11-09,502.0
2007-11-12,502.0
2007-11-13,507.0
2007-11-14,504.0
2007-11-15,525.0
2007-11-16,537.0
2007-11-19,561.0
2007-11-20,571.0
2007-11-21,587.0
2007-11-23,580.0
2007-11-26,592.0
2007-11-27,588.0
2007-11-28,573.0
2007-11-29,573.0
2007-11-30,575.0
2007-12-03,582.0
2007-12-04,589.0
2007-12-05,586.0
2007-12-06,578.0
2007-12-07,563.0
2007-12-10,555.0
2007-12-11,568.0
2007-12-12,561.0
2007-12-13,558.0
2007-12-14,554.0
2007-12-17,558.0
2007-12-18,566.0
2007-12-19,571.0
2007-12-20,579.0
2007-12-21,568.0
2007-12-24,565.0
2007-12-26,559.0
2007-12-27,564.0
2007-12-28,573.0
2007-12-31,592.0
2008-01-02,610.0
2008-01-03,617.0
2008-01-04,636.0
2008-01-07,645.0
2008-01-08,651.0
2008-01-09,673.0
2008-01-10,663.0
2008-01-11,668.0
2008-01-14,666.0
2008-01-15,674.0
2008-01-16,683.0
2008-01-17,699.0
2008-01-18,704.0
2008-01-22,739.0
2008-01-23,748.0
2008-01-24,712.0
2008-01-25,699.0
2008-01-28,703.0
2008-01-29,685.0
2008-01-30,678.0
2008-01-31,695.0
2008-02-01,696.0
2008-02-04,692.0
2008-02-05,706.0
2008-02-06,709.0
2008-02-07,710.0
2008-02-08,725.0
2008-02-11,737.0
2008-02-12,737.0
2008-02-13,738.0
2008-02-14,725.0
2008-02-15,730.0
2008-02-19,725.0
2008-02-20,725.0
2008-02-21,735.0
2008-02-22,735.0
2008-02-25,721.0
2008-02-26,717.0
2008-02-27,718.0
2008-02-28,737.0
2008-02-29,767.0
2008-03-03,775.0
2008-03-04,776.0
2008-03-05,768.0
2008-03-06,779.0
2008-03-07,792.0
2008-03-10,808.0
2008-03-11,795.0
2008-03-12,813.0
2008-03-13,827.0
2008-03-14,838.0
2008-03-17,862.0
2008-03-18,839.0
2008-03-19,837.0
2008-03-20,840.0
2008-03-24,807.0
2008-03-25,797.0
2008-03-26,799.0
2008-03-27,794.0
2008-03-28,799.0
2008-03-31,821.0
2008-04-01,802.0
2008-04-02,786.0
2008-04-03,778.0
2008-04-04,776.0
2008-04-07,754.0
2008-04-08,758.0
2008-04-09,771.0
2008-04-10,770.0
2008-04-11,776.0
2008-04-14,774.0
2008-04-15,765.0
2008-04-16,746.0
2008-04-17,736.0
2008-04-18,715.0
2008-04-21,713.0
2008-04-22,707.0
2008-04-23,705.0
2008-04-24,692.0
2008-04-25,684.0
2008-04-28,685.0
2008-04-29,686.0
2008-04-30,686.0
2008-05-01,681.0
2008-05-02,664.0
2008-05-05,665.0
2008-05-06,670.0
2008-05-07,672.0
2008-05-08,683.0
2008-05-09,690.0
2008-05-12,690.0
2008-05-13,676.0
2008-05-14,665.0
2008-05-15,669.0
2008-05-16,663.0
2008-05-19,660.0
2008-05-20,668.0
2008-05-21,664.0
2008-05-22,659.0
2008-05-23,670.0
2008-05-27,672.0
2008-05-28,661.0
2008-05-29,655.0
2008-05-30,657.0
2008-06-02,667.0
2008-06-03,678.0
2008-06-04,679.0
2008-06-05,663.0
2008-06-06,668.0
2008-06-09,658.0
2008-06-10,649.0
2008-06-11,656.0
2008-06-12,643.0
2008-06-13,639.0
2008-06-16,637.0
2008-06-17,640.0
2008-06-18,653.0
2008-06-19,653.0
2008-06-20,670.0
2008-06-23,676.0
2008-06-24,701.0
2008-06-25,702.0
2008-06-26,727.0
2008-06-27,741.0
2008-06-30,735.0
2008-07-01,748.0
2008-07-02,753.0
2008-07-03,763.0
2008-07-07,776.0
2008-07-08,787.0
2008-07-09,782.0
2008-07-10,790.0
2008-07-11,788.0
2008-07-14,789.0
2008-07-15,806.0
2008-07-16,801.0
2008-07-17,779.0
2008-07-18,767.0
2008-07-21,758.0
2008-07-22,760.0
2008-07-23,746.0
2008-07-24,764.0
2008-07-25,760.0
2008-07-28,779.0
2008-07-29,782.0
2008-07-30,781.0
2008-07-31,800.0
2008-08-01,813.0
2008-08-04,814.0
2008-08-05,811.0
2008-08-06,805.0
2008-08-07,816.0
2008-08-08,814.0
2008-08-11,807.0
2008-08-12,811.0
2008-08-13,809.0
2008-08-14,811.0
2008-08-15,812.0
2008-08-18,817.0
2008-08-19,823.0
2008-08-20,830.0
2008-08-21,829.0
2008-08-22,825.0
2008-08-25,832.0
2008-08-26,832.0
2008-08-27,834.0
2008-08-28,829.0
2008-08-29,828.0
2008-09-02,842.0
2008-09-03,848.0
2008-09-04,855.0
2008-09-05,855.0
2008-09-08,846.0
2008-09-09,853.0
2008-09-10,855.0
2008-09-11,862.0
2008-09-12,854.0
2008-09-15,905.0
2008-09-16,929.0
2008-09-17,964.0
2008-09-18,983.0
2008-09-19,921.0
2008-09-22,921.0
2008-09-23,939.0
2008-09-24,967.0
2008-09-25,987.0
2008-09-26,1025.0
2008-09-29,1075.0
2008-09-30,1096.0
2008-10-01,1124.0
2008-10-02,1200.0
2008-10-03,1224.0
2008-10-06,1307.0
2008-10-07,1318.0
2008-10-08,1351.0
2008-10-09,1391.0
2008-10-10,1536.0
2008-10-13,1538.0
2008-10-14,1450.0
2008-10-15,1514.0
2008-10-16,1572.0
2008-10-17,1595.0
2008-10-20,1576.0
2008-10-21,1587.0
2008-10-22,1605.0
2008-10-23,1634.0
2008-10-24,1669.0
2008-10-27,1681.0
2008-10-28,1667.0
2008-10-29,1621.0
2008-10-30,1591.0
2008-10-31,1617.0
2008-11-03,1629.0
2008-11-04,1618.0
2008-11-05,1608.0
2008-11-06,1619.0
2008-11-07,1631.0
2008-11-10,1635.0
2008-11-11,1636.0
2008-11-12,1684.0
2008-11-13,1706.0
2008-11-14,1716.0
2008-11-17,1743.0
2008-11-18,1796.0
2008-11-19,1861.0
2008-11-20,1948.0
2008-11-21,1992.0
2008-11-24,1987.0
2008-11-25,1986.0
2008-11-26,1976.0
2008-11-28,1978.0
2008-12-01,2020.0
2008-12-02,2019.0
2008-12-03,2039.0
2008-12-04,2054.0
2008-12-05,2074.0
2008-12-08,2062.0
2008-12-09,2059.0
2008-12-10,2066.0
2008-12-11,2092.0
2008-12-12,2130.0
2008-12-15,2182.0
2008-12-16,2144.0
2008-12-17,2106.0
2008-12-18,2072.0
2008-12-19,2043.0
2008-12-22,2018.0
2008-12-23,1982.0
2008-12-24,1979.0
2008-12-26,1955.0
2008-12-29,1925.0
2008-12-30,1848.0
2008-12-31,1812.0
2009-01-02,1784.0
2009-01-05,1744.0
2009-01-06,1668.0
2009-01-07,1642.0
2009-01-08,1667.0
2009-01-09,1665.0
2009-01-12,1667.0
2009-01-13,1682.0
2009-01-14,1686.0
2009-01-15,1697.0
2009-01-16,1679.0
2009-01-20,1679.0
2009-01-21,1671.0
2009-01-22,1669.0
2009-01-23,1673.0
2009-01-26,1674.0
2009-01-27,1676.0
2009-01-28,1640.0
2009-01-29,1622.0
2009-01-30,1622.0
2009-02-02,1640.0
2009-02-03,1630.0
2009-02-04,1615.0
2009-02-05,1613.0
2009-02-06,1605.0
2009-02-09,1598.0
2009-02-10,1607.0
2009-02-11,1617.0
2009-02-12,1627.0
2009-02-13,1621.0
2009-02-17,1645.0
2009-02-18,1659.0
2009-02-19,1648.0
2009-02-20,1676.0
2009-02-23,1685.0
2009-02-24,1722.0
2009-02-25,1717.0
2009-02-26,1718.0
2009-02-27,1739.0
2009-03-02,1784.0
2009-03-03,1809.0
2009-03-04,1828.0
2009-03-05,1859.0
2009-03-06,1866.0
2009-03-09,1886.0
2009-03-10,1871.0
2009-03-11,1838.0
2009-03-12,1829.0
2009-03-13,1804.0
2009-03-16,1763.0
2009-03-17,1758.0
2009-03-18,1797.0
2009-03-19,1774.0
2009-03-20,1774.0
2009-03-23,1756.0
2009-03-24,1745.0
2009-03-25,1726.0
2009-03-26,1709.0
2009-03-27,1675.0
2009-03-30,1689.0
2009-03-31,1703.0
2009-04-01,1712.0
2009-04-02,1678.0
2009-04-03,1653.0
2009-04-06,1643.0
2009-04-07,1644.0
2009-04-08,1636.0
2009-04-09,1619.0
2009-04-13,1616.0
2009-04-14,1585.0
2009-04-15,1574.0
2009-04-16,1544.0
2009-04-17,1505.0
2009-04-20,1517.0
2009-04-21,1535.0
2009-04-22,1527.0
2009-04-23,1517.0
2009-04-24,1487.0
2009-04-27,1491.0
2009-04-28,1479.0
2009-04-29,1446.0
2009-04-30,1345.0
2009-05-01,1334.0
2009-05-04,1323.0
2009-05-05,1308.0
2009-05-06,1294.0
2009-05-07,1254.0
2009-05-08,1241.0
2009-05-11,1258.0
2009-05-12,1264.0
2009-05-13,1285.0
2009-05-14,1291.0
2009-05-15,1291.0
2009-05-18,1282.0
2009-05-19,1267.0
2009-05-20,1245.0
2009-05-21,1232.0
2009-05-22,1213.0
2009-05-26,1209.0
2009-05-27,1187.0
2009-05-28,1174.0
2009-05-29,1176.0
2009-06-01,1136.0
2009-06-02,1119.0
2009-06-03,1117.0
2009-06-04,1101.0
2009-06-05,1070.0
2009-06-08,1060.0
2009-06-09,1059.0
2009-06-10,1042.0
2009-06-11,1043.0
2009-06-12,1041.0
2009-06-15,1040.0
2009-06-16,1048.0
2009-06-17,1073.0
2009-06-18,1074.0
2009-06-19,1075.0
2009-06-22,1093.0
2009-06-23,1103.0
2009-06-24,1101.0
2009-06-25,1109.0
2009-06-26,1109.0
2009-06-29,1105.0
2009-06-30,1055.0
2009-07-01,1050.0
2009-07-02,1052.0
2009-07-06,1061.0
2009-07-07,1063.0
2009-07-08,1084.0
2009-07-09,1079.0
2009-07-10,1089.0
2009-07-13,1092.0
2009-07-14,1076.0
2009-07-15,1052.0
2009-07-16,1057.0
2009-07-17,1041.0
2009-07-20,1037.0
2009-07-21,1029.0
2009-07-22,1018.0
2009-07-23,988.0
2009-07-24,980.0
2009-07-27,966.0
2009-07-28,956.0
2009-07-29,944.0
2009-07-30,933.0
2009-07-31,922.0
2009-08-03,899.0
2009-08-04,888.0
2009-08-05,877.0
2009-08-06,873.0
2009-08-07,857.0
2009-08-10,858.0
2009-08-11,864.0
2009-08-12,878.0
2009-08-13,891.0
2009-08-14,894.0
2009-08-17,917.0
2009-08-18,919.0
2009-08-19,925.0
2009-08-20,927.0
2009-08-21,913.0
2009-08-24,914.0
